Entity_id,Category,Summary
513,World University Rankings,Institution: American University of Sharjah has a score of 29.9 and rank of 370 on indicator overall. This university has campuses in United Arab Emirates .
513,World University Rankings,Institution: The University of Auckland has a score of 62.7 and rank of 87 on indicator overall. This university has campuses in New Zealand .
513,World University Rankings,Institution: NJSC KIMEP University has a score of  and rank of 867 on indicator overall. This university has campuses in Kazakhstan .
513,World University Rankings,Institution: Saint Petersburg State University has a score of 37.2 and rank of 273 on indicator overall. This university has campuses in Russia .
513,World University Rankings,Institution: Universidade de São Paulo has a score of 56.1 and rank of 115 on indicator overall. This university has campuses in Brazil .
513,World University Rankings,Institution: University of Zurich has a score of 63.7 and rank of 84 on indicator overall. This university has campuses in Switzerland .
513,World University Rankings,Institution: Indian Institute of Technology Bombay (IITB) has a score of 46.7 and rank of 172 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: Universidad de San Andrés - UdeSA has a score of  and rank of 786 on indicator overall. This university has campuses in Argentina .
513,World University Rankings,Institution: De La Salle University has a score of  and rank of 828 on indicator overall. This university has campuses in Philippines .
513,World University Rankings,Institution: Indian Institute of Technology Madras (IITM) has a score of 38.6 and rank of 250 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: University of British Columbia has a score of 77 and rank of 47 on indicator overall. This university has campuses in Canada .
513,World University Rankings,Institution: University of Notre Dame has a score of 38.9 and rank of 244 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: UCSI University has a score of 36.1 and rank of 286 on indicator overall. This university has campuses in Malaysia .
513,World University Rankings,Institution: Queen's University at Kingston has a score of 38.8 and rank of 246 on indicator overall. This university has campuses in Canada .
513,World University Rankings,Institution: University of Macau has a score of 34.9 and rank of 304 on indicator overall. This university has campuses in Macau SAR .
513,World University Rankings,Institution: Indian Institute of Technology Kanpur (IITK) has a score of 37.6 and rank of 264 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: Lehigh University has a score of  and rank of 593 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: University of Vienna has a score of 50.6 and rank of 151 on indicator overall. This university has campuses in Austria .
513,World University Rankings,Institution: Waseda University has a score of 42.8 and rank of 206 on indicator overall. This university has campuses in Japan .
513,World University Rankings,Institution: University of Rijeka has a score of  and rank of 1177 on indicator overall. This university has campuses in Croatia .
513,World University Rankings,Institution: Korea University has a score of 66.9 and rank of 74 on indicator overall. This university has campuses in South Korea .
